dataset,model,axe_eval,shap,lime,vnla,sg,itg,ig,random_error,random,coeffs,wts_time_feats,ranked_columns,id
compas,ann,5NN,0.6866975130133024,0.6820127241179872,0.6835743204164256,0.6839213418160786,0.6866396761133603,0.6827067669172933,0.6739733950260265,0.6710815500289184,,,"['shap', 'itg', 'sg', 'vnla', 'ig', 'lime', 'random']",5NN
compas,ann,9NN,0.6880855986119143,0.6808559861191439,0.6824175824175823,0.6823597455176403,0.6867553499132445,0.6816078658183921,0.6684210526315788,0.6689415847310584,,,"['shap', 'itg', 'vnla', 'sg', 'ig', 'lime', 'random']",9NN
compas,ann,15NN,0.6866396761133603,0.6803932909196067,0.6820127241179872,0.6818392134181608,0.6858299595141699,0.6812030075187969,0.6626373626373627,0.6699248120300751,,,"['shap', 'itg', 'vnla', 'sg', 'ig', 'lime', 'random']",15NN
compas,ann,31NN,0.6868710237131289,0.6759976865240023,0.6786581839213419,0.6784268363215731,0.6838635049161365,0.6777327935222671,0.6750144592249856,0.6704453441295547,,,"['shap', 'itg', 'vnla', 'sg', 'ig', 'lime', 'random']",31NN
compas,ann,65NN,0.6817813765182186,0.6715442452284558,0.6742625795257374,0.6740312319259687,0.6788316946211682,0.6732793522267205,0.6665702718334298,0.6649508386350491,,,"['shap', 'itg', 'vnla', 'sg', 'ig', 'lime', 'random']",65NN
adult,lr,1NN,0.7895947612365523,0.8007016201046053,0.8050899349406813,0.8050899349406813,0.78029510566824,0.8050899349406814,0.7334481438959051,0.7189735085257473,0.8050899349406814,0.78029510566824,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",1NN
adult,lr,3NN,0.7984947059573926,0.7989964706382617,0.8009142322575159,0.8009142322575159,0.7915082706127483,0.800897223285283,0.7460347833482162,0.7439001573329933,0.800897223285283,0.7915082706127483,"['sg', 'vnla', 'ig', 'lime', 'shap', 'itg', 'random']",3NN
adult,lr,5NN,0.8001275672917465,0.8017986988136242,0.8052089977463113,0.8052089977463113,0.796151720032317,0.805204745503253,0.7403410298932687,0.7504911340732237,0.805204745503253,0.796151720032317,"['sg', 'vnla', 'ig', 'lime', 'shap', 'itg', 'random']",5NN
adult,lr,9NN,0.7988774078326317,0.7993919292426755,0.8035378662244334,0.8035378662244334,0.7957860271293108,0.8035421184674916,0.7446145341667731,0.7529361738316962,0.8035421184674916,0.7957775226431945,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",9NN
adult,lr,15NN,0.798545732874091,0.7975124378109454,0.8008036739380022,0.8008036739380022,0.7928817451205512,0.8008547008547008,0.7454139558617171,0.7521962835395671,0.8008547008547008,0.792915763065017,"['ig', 'sg', 'vnla', 'shap', 'lime', 'itg', 'random']",15NN
adult,lr,31NN,0.7939405536420462,0.7942637241144703,0.7975719692137603,0.7975719692137603,0.7905812816260578,0.797605987158226,0.7473912488837863,0.752072968490879,0.797605987158226,0.7906152995705235,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",31NN
adult,lr,65NN,0.7894799506739805,0.7906408130288728,0.7937874728919506,0.7937874728919506,0.7855381213590168,0.7938512565378237,0.7549687460135223,0.7489263086278012,0.7938512565378237,0.7855551303312498,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",65NN
adult,ann,1NN,0.7880682059786538,0.7898243823616957,0.7908194072373178,0.7908364162095506,0.7810052302589616,0.7941871837394227,0.7279925160522176,0.7175745205595953,,,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",1NN
adult,ann,3NN,0.7975507079984694,0.7947697410383978,0.7955691627333419,0.7955393970319343,0.7918144321129397,0.7976485095888082,0.7454054513756007,0.7414466130884043,,,"['ig', 'shap', 'vnla', 'sg', 'lime', 'itg', 'random']",3NN
adult,ann,5NN,0.8001913509376195,0.7956074329208657,0.7964026023727516,0.7964323680741592,0.7935068248501084,0.7989369392354467,0.7411191903729218,0.7474337713143683,,,"['shap', 'ig', 'sg', 'vnla', 'lime', 'itg', 'random']",5NN
adult,ann,9NN,0.7951269294552877,0.7954245864693626,0.7960836841433858,0.7961134498447932,0.7915890632308542,0.7978356082833695,0.7367053620784964,0.7500063783645874,,,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",9NN
adult,ann,15NN,0.7986222732491391,0.7918314410851723,0.7924225028702641,0.7924097461410894,0.7921120891270145,0.7943190032742271,0.7462431432580686,0.7500361440659947,,,"['shap', 'ig', 'vnla', 'sg', 'itg', 'lime', 'random']",15NN
adult,ann,31NN,0.7945868945868946,0.7906875877025131,0.7903091380703321,0.7903856784453799,0.7871284602627886,0.7937406982183102,0.7461028192371476,0.7498660543436664,,,"['shap', 'ig', 'lime', 'sg', 'vnla', 'itg', 'random']",31NN
adult,ann,65NN,0.7882553046732151,0.7873410724156993,0.7869711272696348,0.787056172130799,0.7835523238508314,0.7904324531190204,0.7515414381086023,0.7471701322447591,,,"['ig', 'shap', 'lime', 'sg', 'vnla', 'itg', 'random']",65NN
